ifuuid,name,rx_pkts,rx_bytes,rx_drops,tx_pkts,tx_bytes,tx_drops,rx_drop_firewall,tx_drop_firewall,rx_drop_malformed,rx_drop_ipv6,rx_drop_no_route,rx_drop_dst_unsupported,rx_drop_proto_unsupported,rx_drop_l4port_unsupported,rx_drop_ttl_exceeded,rx_drop_rpf_check,rx_drop_blocked,rx_drop_no_receiver,rx_drop_kni,rx_drop_redirect,rx_drop_rate_limit,rx_frags,rx_frag_ok,rx_frag_error,rx_frag_timeout,rx_drop_ipsec,rx_drop_ipsec_nosa,rx_drop_ipsec_novti,rx_rs,rx_mld,rx_drop_igmp,tx_drop_rate_limit,tx_drop_no_arp,tx_drop_frag_needed,tx_drop_blocked,tx_drop_no_linked,tx_drop_non_ip,tx_drop_no_mem,tx_frag_ok,tx_frag_error,tx_drop_ipsec,tx_drop_ipsec_nosa,tx_drop_ipsec_novti,tx_drop_ipsec_pol_block,tx_drop_ipsec_pol_err,tx_drop_service_insert,tx_drop_dad
96c78561-27ae-51f6-8efe-2c958f5cd77a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9646b1c3-bd45-50aa-b502-6dabceade10d,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aff92545-c378-457d-b090-dab13ccb5705,N294-T0-Mini-T1-Mini-tkg-primar,229281953,187265961183,16,335190005,474672743034,5375,0,5375,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8daf3b04-d745-4ba9-8e8a-f78aad4ab97a,bp-sr0-port,335203425,474681620274,10,8783,368886,5375,0,5375,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2581be75-e800-463d-94fe-148ee2510420,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013a6f7-9f0f-5f47-95a3-0f00c6ece625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d0425b5-615a-57c2-9b1c-658621eef465,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1111c4e-d116-47f1-91bf-93fd5e72d075,T1-Mini-tkg-primary-dhcp-dlrp,102,7696,56,10,420,5375,0,5375,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be9162a4-0e06-42eb-b0eb-0a9ad8af6960,infra-01-Mini-TKG-primary-dlrp,3408,202734,0,229284980,187266088927,5615,0,5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7efa289a-40e3-4a4a-92d5-ec8e7472ff21,bp-dr-port,281,16266,251,10,420,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
